照合結果,不一致内容,機器ID,機器名,機器表 台数,盤表 台数,台数差（盤表-機器表）,機器表 消費電力(kW),盤表 容量(kW),容量差(kW),図面番号
一致,,SF-P-1,送 風 機,1,1,0,1.15,1.15,0,E-024
一致,,SF-B2-1,送 風 機,1,1,0,0.54,0.54,0,E-024
一致,,SF-B2-2,送 風 機,1,1,0,0.6,0.6,0,E-024
不一致,容量差分=-0.375,SF-B2-3,送 風 機,1,1,0,0.91,0.535,-0.375,E-024
一致,,SF-B2-4,送 風 機,1,1,0,0.535,0.535,0,E-024
不一致,盤表に記載なし,SF-B2-5,送 風 機,1,0,-1,0.385,,,
一致,,SF-B2-6,送 風 機,3,3,0,2.2,2.2,0,E-024
不一致,盤表に記載なし,SF-B2-7,送 風 機,1,0,-1,0.385,,,
不一致,盤表に記載なし,SF-B1-1,送 風 機,1,0,-1,0.22,,,
不一致,盤表に記載なし,SF-B1-2,送 風 機,1,0,-1,0.22,,,
不一致,盤表に記載なし,SF-1-1,送 風 機,1,0,-1,0.22,,,
一致,,SF-1-2,送 風 機,1,1,0,0.535,0.535,0,E-024
不一致,盤表に記載なし,SF-11-1,送 風 機,1,0,-1,0.175,,,
一致,,SF-R-1,送 風 機,1,1,0,2.2,2.2,0,E-025
不一致,盤表に記載なし,SF-R-2,送 風 機,1,0,-1,1.5,,,
不一致,盤表に記載なし,OF-1-1,送 風 機,1,0,-1,0.22,,,
一致,,EF-P-1,排 風 機,1,1,0,0.91,0.91,0,E-024
一致,,EF-B2-1,排 風 機,1,1,0,0.54,0.54,0,E-024
一致,,EF-B2-2,排 風 機,1,1,0,0.54,0.54,0,E-024
不一致,容量差分=-0.370,EF-B2-3,排 風 機,1,1,0,0.91,0.54,-0.37,E-024
一致,,EF-B2-4,排 風 機,1,1,0,0.54,0.54,0,E-024
不一致,盤表に記載なし,EF-B2-5,排 風 機,1,0,-1,0.116,,,
一致,,EF-B2-6,排 風 機,3,3,0,2.2,2.2,0,E-024
不一致,盤表に記載なし,EF-B2-7,排 風 機,1,0,-1,0.202,,,
不一致,盤表に記載なし,EF-B1-1,排 風 機,1,0,-1,0.145,,,
不一致,盤表に記載なし,EF-B1-2,排 風 機,1,0,-1,0.145,,,
不一致,盤表に記載なし,EF-1-1,排 風 機,1,0,-1,0.0832,,,
一致,,EF-1-2,排 風 機,1,1,0,0.54,0.54,0,E-024
一致,,EF-10-1,排 風 機,1,1,0,0.75,0.75,0,E-025
不一致,盤表に記載なし,EF-11-1,排 風 機,1,0,-1,0.0625,,,
一致,,EF-R-1,排 風 機,1,1,0,1.5,1.5,0,E-025
不一致,台数差分=1,EF-R-2,排 風 機,1,2,1,0.75,0.75,0,E-025
,,EF-R-2,排 風 機,,,,0.75,1.5,0.75,E-025
一致,,F-EV-1,排 風 機,1,1,0,0.425,0.425,0,E-025
一致,,F-B1-1,排 風 機,3,3,0,2.2,2.2,0,E-024
不一致,盤表に記載なし,F-B1-2,排 風 機,1,0,-1,0.285,,,
不一致,盤表に記載なし,F-B1-3,排 風 機,1,0,-1,0.0625,,,
不一致,盤表に記載なし,F-1-1,排 風 機,1,0,-1,0.078,,,
不一致,盤表に記載なし,F-1-2,排 風 機,2,0,-2,0.074,,,
不一致,盤表に記載なし,F-1-3,排 風 機,1,0,-1,0.0625,,,
不一致,盤表に記載なし,F-1-4,排 風 機,1,0,-1,0.0625,,,
不一致,盤表に記載なし,F-2-1,排 風 機,1,0,-1,0.078,,,
不一致,盤表に記載なし,F-2-2,排 風 機,1,0,-1,0.0832,,,
不一致,盤表に記載なし,F-11-1,排 風 機,1,0,-1,0.0625,,,
不一致,盤表に記載なし,F-11-2,排 風 機,1,0,-1,0.2,,,
不一致,盤表に記載なし,HEX-B2-1,全熱交換機,1,0,-1,0.075,,,
不一致,盤表に記載なし,HEX-B1-1,全熱交換機,1,0,-1,0.075,,,
不一致,盤表に記載なし,HEX-B1-2,全熱交換機,1,0,-1,0.075,,,
不一致,盤表に記載なし,HEX-1-1,全熱交換機,1,0,-1,0.145,,,
不一致,盤表に記載なし,HEX-1-2,全熱交換機,2,0,-2,0.42,,,
不一致,盤表に記載なし,HEX-1-3,全熱交換機,1,0,-1,0.42,,,
不一致,盤表に記載なし,HEX-1-4,全熱交換機,1,0,-1,0.075,,,
不一致,盤表に記載なし,HEX-2-1,全熱交換機,1,0,-1,0.145,,,
不一致,盤表に記載なし,HEX-2-2,全熱交換機,1,0,-1,0.355,,,
不一致,盤表に記載なし,HEX-2-3,全熱交換機,1,0,-1,0.145,,,
不一致,盤表に記載なし,HEX-2-4,全熱交換機,1,0,-1,0.355,,,
不一致,盤表に記載なし,HEX-11-1,全熱交換機,1,0,-1,0.56,,,
不一致,盤表に記載なし,BOF-B2-1,ブースターファン,1,0,-1,0.175,,,
不一致,盤表に記載なし,BOF-B1-1,ブースターファン,1,0,-1,0.175,,,
不一致,盤表に記載なし,BOF-B1-2,ブースターファン,1,0,-1,0.175,,,
不一致,盤表に記載なし,BEF-B2-1,ブースターファン,1,0,-1,0.0625,,,
不一致,盤表に記載なし,BEF-B1-1,ブースターファン,1,0,-1,0.0625,,,
不一致,盤表に記載なし,BEF-B1-2,ブースターファン,1,0,-1,0.0625,,,
一致,,DF-R-1,臭突ファン,1,1,0,0.4,0.4,0,E-025
不一致,盤表に記載なし,SMF-1,排 煙 機,1,0,-1,7.5,,,
不一致,盤表に記載なし,SMF-2,排 煙 機,1,0,-1,5.5,,,
不一致,盤表に記載なし,CAV-3～6-1,定風量装置,4,0,-4,10VA,,,
不一致,盤表に記載なし,CAV-7-1,(OA),1,0,-1,,,,
不一致,盤表に記載なし,CAV-8-1,,1,0,-1,,,,
不一致,盤表に記載なし,CAV-2-1,定風量装置,1,0,-1,10VA,,,
不一致,盤表に記載なし,CAV-9-1,(OA),1,0,-1,,,,
不一致,盤表に記載なし,CAV-10-1,,1,0,-1,,,,
不一致,盤表に記載なし,CAV-11～15-1,,5,0,-5,,,,
不一致,盤表に記載なし,CAV-16-1,,1,0,-1,,,,
不一致,盤表に記載なし,CAV-3～6-2,定風量装置,4,0,-4,10VA,,,
不一致,盤表に記載なし,CAV-7-2,(EA),1,0,-1,,,,
不一致,盤表に記載なし,CAV-8-2,,1,0,-1,,,,
不一致,盤表に記載なし,CAV-9-2,,1,0,-1,,,,
不一致,盤表に記載なし,CAV-10-2,,1,0,-1,,,,
不一致,盤表に記載なし,CAV-11～15-2,,5,0,-5,,,,
不一致,盤表に記載なし,CAV-16-2,,1,0,-1,,,,
不一致,盤表に記載なし,CAV-2-2,定風量装置,1,0,-1,10VA,,,
