機器番号,機器名称,電圧(V),容量(kW),図面番号
EF-B2-1,排風機,200,0.54,E-024
SF-B2-1,送風機,200,0.54,E-024
EF-B2-2,排風機,200,0.54,E-024
SF-B2-2,送風機,200,0.6,E-024
,全自動砂濾過装置,200,2.0,E-024
JU-1,補助加圧ポンプ,200,2.2,E-024
DP-2,清水ポンプ,200,3.7,E-024
,同上用フロートスイッチ,,,E-024
DP-3,清水ポンプ,200,3.7,E-024
,同上用フロートスイッチ,,,E-024
DP-5,清水ポンプ,200,3.7,E-024
,同上用フロートスイッチ,,,E-024
DP-6,清水ポンプ,200,3.7,E-024
,同上用フロートスイッチ,,,E-024
DP-9,雑排水ポンプ,200,3.7,E-024
,同上用フロートスイッチ,,,E-024
DP-10,雨水排水ポンプ,200,2.2,E-024
,同上用フロートスイッチ,,,E-024
EF-B2-6,排風機,200,2.2,E-024
EF-B2-6,排風機,200,2.2,E-024
EF-B2-6,排風機,200,2.2,E-024
SF-B2-6,送風機,200,2.2,E-024
SF-B2-6,送風機,200,2.2,E-024
SF-B2-6,送風機,200,2.2,E-024
EF-P-1,排風機,200,0.91,E-024
SF-P-1,送風機,200,1.15,E-024
EF-B2-4,排風機,200,0.54,E-024
SF-B2-4,送風機,200,0.535,E-024
PAC-4-1,空調室内機,200,1.2,E-024
PAC-5-1,空調室内機,200,1.2,E-024
EF-B2-3,排風機,200,0.54,E-024
SF-B2-3,送風機,200,0.535,E-024
DP-1,雑排水ポンプ,200,3.7,E-024
,同上用フロートスイッチ,,,E-024
DP-4,清水ポンプ,200,2.2,E-024
,同上用フロートスイッチ,,,E-024
DP-7,清水ポンプ,200,3.7,E-024
,同上用フロートスイッチ,,,E-024
DP-8,雑排水ポンプ,200,7.5,E-024
,同上用フロートスイッチ,,,E-024
DP-11,雨水排水ポンプ,200,3.7,E-024
,同上用フロートスイッチ,,,E-024
DP-12,汚泥引抜ポンプ,200,5.5,E-024
DP-14,雑排水ポンプ,200,3.7,E-024
,同上用フロートスイッチ,,,E-024
F-B1-1,排風機,200,2.2,E-024
F-B1-1,排風機,200,2.2,E-024
F-B1-1,排風機,200,2.2,E-024
SS-B1-1,リングシャッター,200,0.75,E-024
FSS-B1-1,防火シャッター,200,0.75,E-024
EF-1-2,排風機,200,0.54,E-024
SF-1-2,送風機,200,0.535,E-024
PAC-1,空調室外機,200,9.45,E-025
PAC-2,空調室外機,200,6.63,E-025
PAC-6,空調室外機,200,2.0,E-025
PAC-9,空調室外機,200,5.25,E-025
EF-10-1,排風機,200,0.75,E-025
PAC-4,空調室外機,200,7.81,E-025
PAC-8,空調室外機,200,13.7,E-025
PAC-5,空調室外機,200,7.81,E-025
PAC-7,空調室外機,200,16.9,E-025
PAC-15,空調室外機,200,9.0,E-025
EF-R-1,排風機,200,1.5,E-025
SF-R-1,送風機,200,2.2,E-025
EF-R-2,排風機,200,0.75,E-025
EF-R-2,送風機,200,1.5,E-025
PAC-11,空調室外機,200,13.7,E-025
PAC-13,空調室外機,200,8.6,E-025
PAC-10,空調室外機,200,11.6,E-025
PAC-12,空調室外機,200,11.6,E-025
PAC-14,空調室外機,200,8.6,E-025
DF-R-1,臭突ファン,200,0.4,E-025
F-EV-1,排風機,200,0.425,E-025
