機器番号,名称,動力 (50Hz)_消費電力 (KW),台数
SF-P-1,送 風 機,1.15,1
SF-B2-1,送 風 機,0.54,1
SF-B2-2,送 風 機,0.6,1
SF-B2-3,送 風 機,0.91,1
SF-B2-4,送 風 機,0.535,1
SF-B2-5,送 風 機,0.385,1
SF-B2-6,送 風 機,2.2,3
SF-B2-7,送 風 機,0.385,1
SF-B1-1,送 風 機,0.22,1
SF-B1-2,送 風 機,0.22,1
SF-1-1,送 風 機,0.22,1
SF-1-2,送 風 機,0.535,1
SF-11-1,送 風 機,0.175,1
SF-R-1,送 風 機,2.2,1
SF-R-2,送 風 機,1.5,1
OF-1-1,送 風 機,0.22,1
EF-P-1,排 風 機,0.91,1
EF-B2-1,排 風 機,0.54,1
EF-B2-2,排 風 機,0.54,1
EF-B2-3,排 風 機,0.91,1
EF-B2-4,排 風 機,0.54,1
EF-B2-5,排 風 機,0.116,1
EF-B2-6,排 風 機,2.2,3
EF-B2-7,排 風 機,0.202,1
EF-B1-1,排 風 機,0.145,1
EF-B1-2,排 風 機,0.145,1
EF-1-1,排 風 機,0.0832,1
EF-1-2,排 風 機,0.54,1
EF-10-1,排 風 機,0.75,1
EF-11-1,排 風 機,0.0625,1
EF-R-1,排 風 機,1.5,1
EF-R-2,排 風 機,0.75,1
F-EV-1,排 風 機,0.425,1
F-B1-1,排 風 機,2.2,3
F-B1-2,排 風 機,0.285,1
F-B1-3,排 風 機,0.0625,1
F-1-1,排 風 機,0.078,1
F-1-2,排 風 機,0.074,2
F-1-3,排 風 機,0.0625,1
F-1-4,排 風 機,0.0625,1
F-2-1,排 風 機,0.078,1
F-2-2,排 風 機,0.0832,1
F-11-1,排 風 機,0.0625,1
F-11-2,排 風 機,0.2,1
HEX-B2-1,全熱交換機,0.075,1
HEX-B1-1,全熱交換機,0.075,1
HEX-B1-2,全熱交換機,0.075,1
HEX-1-1,全熱交換機,0.145,1
HEX-1-2,全熱交換機,0.42,2
HEX-1-3,全熱交換機,0.42,1
HEX-1-4,全熱交換機,0.075,1
HEX-2-1,全熱交換機,0.145,1
HEX-2-2,全熱交換機,0.355,1
HEX-2-3,全熱交換機,0.145,1
HEX-2-4,全熱交換機,0.355,1
HEX-11-1,全熱交換機,0.56,1
BOF-B2-1,ブースターファン,0.175,1
BOF-B1-1,ブースターファン,0.175,1
BOF-B1-2,ブースターファン,0.175,1
BEF-B2-1,ブースターファン,0.0625,1
BEF-B1-1,ブースターファン,0.0625,1
BEF-B1-2,ブースターファン,0.0625,1
DF-R-1,臭突ファン,0.4,1
SMF-1,排 煙 機,7.5,1
SMF-2,排 煙 機,5.5,1
CAV-3～6-1,定風量装置,10VA,4
CAV-7-1,(OA),,1
CAV-8-1,,,1
CAV-2-1,定風量装置,10VA,1
CAV-9-1,(OA),,1
CAV-10-1,,,1
CAV-11～15-1,,,5
CAV-16-1,,,1
CAV-3～6-2,定風量装置,10VA,4
CAV-7-2,(EA),,1
CAV-8-2,,,1
CAV-9-2,,,1
CAV-10-2,,,1
CAV-11～15-2,,,5
CAV-16-2,,,1
CAV-2-2,定風量装置,10VA,1
CAV-3～6-3,(EA),,4
CAV-7-3,,,1
CAV-8-3,,,1
CAV-9-3,,,1
CAV-10-3,,,1
OS-1,脱臭装置,0.15,1
OS-2,脱臭装置,0.026,1
OS-3,脱臭装置,0.008,1
AH-1,ｴｱ搬送ﾌｧﾝ,0.11,7
PAC-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),(冷)9.45 / (暖)7.18 / (低温)9.43,1
PAC-1-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),0.04,2
PAC-1-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),0.02,1
PAC-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,(冷)3.93 / (暖)4.05 / (低温)5.32,1
PAC-2-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.02,1
PAC-2-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.07,1
PAC-2-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.02,1
PAC-2-4,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.02,1
PAC-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / 店舗用,(冷)0.575 / (暖)0.721 / (低温)0.988,1
PAC-3-1,空 調 機 空冷HPﾊﾟｯｹｰｼﾞ 店舗用,,1
PAC-4,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),(冷)5.64 / (暖)4.98 / (低温)6.63,1
PAC-4-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),0.19,1
PAC-5,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),(冷)5.64 / (暖)4.98 / (低温)6.63,1
PAC-5-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ / (冷房専用),0.19,1
PAC-6,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,(冷)1.52 / (暖)1.66 / (低温)2,1
PAC-6-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.03,1
PAC-6-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,0.02,1
